aggregateType,sourceFile,sourceRow,query,clicks,impressions,ctrPercent,position,priority,classifications,cluster,service,city,suggestedPrimaryRoute,relationStatus,relationBasis,recommendedAction
QUERY,Suchanfragen.csv,2,grundreinigung wohnung düsseldorf,2,59,3.39,9.05,P1,PROTECT_WINNER,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Gewinner-Signale schützen; keine radikale URL-, Canonical- oder Inhaltsänderung."
QUERY,Suchanfragen.csv,3,floxant,2,47,4.26,1.53,P2,PROTECT_WINNER,brand,,,/,LIKELY,"Markenquery; semantische Zuordnung, nicht durch eine Query-zu-URL-Zeile bestätigt.","Gewinner-Signale schützen; keine radikale URL-, Canonical- oder Inhaltsänderung."
QUERY,Suchanfragen.csv,4,praxisreinigung düsseldorf,1,405,0.25,11.06,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_11_TO_20,duesseldorf-practice-cleaning,praxisreinigung,duesseldorf,/duesseldorf/praxisreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,5,fensterreinigung düsseldorf,1,224,0.45,8.02,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,6,putzfirma düsseldorf,1,157,0.64,7.8,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,7,bauendreinigung düsseldorf,1,142,0.7,4.94,P1,PROTECT_WINNER|HIGH_IMPRESSIONS_LOW_CTR,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",URL und Hauptsignale schützen; höchstens einen kontrollierten Snippet-Test über mindestens 28 Tage messen.
QUERY,Suchanfragen.csv,8,umzugsunternehmen regensburg,1,96,1.04,42.64,P1,MANUAL_REVIEW,regensburg-move,umzug,regensburg,/regensburg/umzug,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,9,klaviertransport regensburg,1,29,3.45,3.17,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,10,entrümpelung düsseldorf,1,13,7.69,16.62,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,11,büroreinigung düsseldorf,0,572,0,9.43,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,12,reinigungsdienst düsseldorf,0,211,0,7.49,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,13,grundreinigung düsseldorf,0,206,0,4.73,P1,PROTECT_WINNER|HIGH_IMPRESSIONS_LOW_CTR|POSITION_1_TO_5_NO_CLICK,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",URL und Hauptsignale schützen; höchstens einen kontrollierten Snippet-Test über mindestens 28 Tage messen.
QUERY,Suchanfragen.csv,14,unterhaltsreinigung düsseldorf,0,199,0,10.53,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_11_TO_20,duesseldorf-maintenance-cleaning,unterhaltsreinigung,duesseldorf,/duesseldorf/unterhaltsreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,15,hausmeisterservice düsseldorf,0,156,0,6.76,P2,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,"Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,16,reinigungsunternehmen düsseldorf,0,149,0,5.8,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,17,angebot reinigungsfirma,0,144,0,27.65,P2,HIGH_IMPRESSIONS_LOW_CTR,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,18,umzug regensburg,0,135,0,23.76,P1,HIGH_IMPRESSIONS_LOW_CTR,regensburg-move,umzug,regensburg,/regensburg/umzug,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,19,fensterreiniger düsseldorf,0,134,0,8.28,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,20,glasreinigung düsseldorf,0,130,0,11.38,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_11_TO_20,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,21,büroreinigung,0,124,0,12.41,P2,HIGH_IMPRESSIONS_LOW_CTR|POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,"Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,22,entrümpelung regensburg,0,107,0,74.85,P2,HIGH_IMPRESSIONS_LOW_CTR,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,23,baureinigung düsseldorf,0,106,0,15.12,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_11_TO_20,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,24,büroreinigung düesseldorf,0,102,0,8.52,P1,HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.","Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
QUERY,Suchanfragen.csv,25,bauendreinigung,0,98,0,14.13,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,26,büroreinigung in düsseldorf,0,86,0,10.3,P1,POSITION_11_TO_20,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,27,gewerbereinigung,0,85,0,31.04,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,28,reinigungsfirma angebot,0,82,0,39.35,P2,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,29,hausmeisterdienst düsseldorf,0,80,0,4.04,P3,POSITION_1_TO_5_NO_CLICK|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,30,grundreinigung,0,75,0,4.67,P3,POSITION_1_TO_5_NO_CLICK|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,31,büroreinigung duesseldorf,0,75,0,11.59,P1,POSITION_11_TO_20,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,32,baureinigung,0,73,0,6.86,P3,POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,33,umzug im alter bayern,0,68,0,9.13,P3,POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,34,umzug im alter erlangen,0,67,0,2.73,P3,POSITION_1_TO_5_NO_CLICK|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,35,wohnungsreinigung düsseldorf,0,65,0,22.75,P1,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,36,praxisreinigung,0,61,0,5.8,P3,POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,37,reinigungsfirma düsseldorf,0,59,0,32.8,P1,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,38,reinigungsfirmen düsseldorf,0,56,0,9.16,P1,POSITION_6_TO_10_LOW_CTR,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,39,reinigungsdienst,0,52,0,2.31,P3,POSITION_1_TO_5_NO_CLICK|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
