"route","check","expected","actual","status"
"/duesseldorf/reinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\reinigung.html","PASS"
"/duesseldorf/reinigung","TITLE","unique and service-specific","Reinigungsfirma Düsseldorf: Reinigung anfragen | FLOXANT","PASS"
"/duesseldorf/reinigung","H1","exactly one service-specific H1","1: Reinigung in Düsseldorf – persönlich, verständlich und passend zu Ihrem Objekt","PASS"
"/duesseldorf/reinigung","META_DESCRIPTION","service-specific, 80+ characters","Reinigung in Düsseldorf persönlich anfragen: Wohnung, Büro, Praxis, Fenster, Grund- oder Unterhaltsreinigung. Objekt, Umfang und Termin einfach senden.","PASS"
"/duesseldorf/reinigung","INTRO","service-specific, 100+ characters","Sie suchen einen Reinigungsdienst in Düsseldorf, der Ihre Situation zuerst versteht? Nennen Sie Objektart, Fläche, gewünschtes Ergebnis und Terminwunsch. FLOXANT ordnet Ihre Anfrage ohne Umwege der passenden Reinigung zu","PASS"
"/duesseldorf/reinigung","SEARCH_INTENT","allgemeine Reinigung","Reinigungsfirma Düsseldorf: Reinigung anfragen | FLOXANT | Reinigung in Düsseldorf – persönlich, verständlich und passend zu Ihrem Objekt","PASS"
"/duesseldorf/reinigung","CANONICAL","https://www.floxant.de/duesseldorf/reinigung","https://www.floxant.de/duesseldorf/reinigung","PASS"
"/duesseldorf/reinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/reinigung","SITEMAP","included","included","PASS"
"/duesseldorf/reinigung","INTERNAL_LINKS","at least one inbound link","110","PASS"
"/duesseldorf/reinigung","FAQ","at least three page FAQ entries","8","PASS"
"/duesseldorf/reinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/reinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/bueroreinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\bueroreinigung.html","PASS"
"/duesseldorf/bueroreinigung","TITLE","unique and service-specific","Büroreinigung Düsseldorf für Firmen klar anfragen","PASS"
"/duesseldorf/bueroreinigung","H1","exactly one service-specific H1","1: Büroreinigung in Düsseldorf für Firmen klar anfragen","PASS"
