"url","pageType","region","primaryIntent","primaryKeyword","h1","title","metaDescription","mainWordCount","faqCount","internalLinkCount","primaryCta","introQuality","serviceDescriptionQuality","storyStructureQuality","possibleTextDuplicates","possibleLocationConflicts","possibleCannibalization","indexStatus","changePriority","grade","issues","minorIssues"
"/","Startseite","Düsseldorf und Regensburg","passenden Service und nächsten Schritt wählen","floxant dienstleistungen","Reinigung in Düsseldorf. Umzug und Service in Regensburg.","FLOXANT | Reinigung Düsseldorf & Services Regensburg","FLOXANT für Reinigung in Düsseldorf sowie Umzug, Räumung und Reinigung in Regensburg. Auftrag mit Ort, Umfang, Termin und Fotos anfragen.","701","11","16","Anfrage senden -> /kontakt?mode=neutral&source=global_homepage","ausreichend","gut","ausreichend","","","","index, follow","P0","A","",""
"/24h-umzug-bayern","Lokale Service-Seite","Bayern","Leistung verstehen und anfragen","kurzfristigen umzug in bayern prüfen","Umzug in Bayern","Kurzfristigen Umzug in Bayern prüfen","Kurzfristiger Umzug in Bayern? Region, Umfang, Zugang und Terminfenster senden. FLOXANT prüft die Machbarkeit. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","2466","14","18","Budget nennen -> /anfrage-mit-preisrahmen","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","h1 identisch mit /kleintransporte","index, follow","P1","A","",""
"/24h-umzugsservice","Service-Seite","überregional oder nicht ortsgebunden","Leistung verstehen und anfragen","kurzfristigen umzug anfragen","Kurzfristigen Umzug anfragen","Kurzfristigen Umzug anfragen | FLOXANT","Kurzfristigen Umzug in Bayern anfragen. FLOXANT prüft Wunschtermin, Umfang, Zugänge und verfügbare Kapazität. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","386","0","11","Jetzt anfragen -> /buchung?service=umzug&utm_source=24h_umzugsservice&urgency=24h&contact=callback#buchungssystem","ausreichend","ausreichend","gut","[object Object] | [object Object]","","","index, follow","P1","B","",""
"/agb","Recht / Pflichtinformation","überregional oder nicht ortsgebunden","Pflichtangaben nachlesen","agb","Allgemeine Geschäftsbedingungen (AGB)","AGB – FLOXANT","Allgemeine Geschäftsbedingungen von FLOXANT. Fragen zu einer Leistung können Sie per WhatsApp oder Telefon klären: +49 1577 1105087. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","564","0","0","","ausreichend","ausreichend","schwach","","","","index, follow","P2","B","",""
"/airbnb-turnover-express","Hub / Information","Regensburg","passenden Service und nächsten Schritt wählen","gästewechsel-service regensburg","Der nächste Gast kommt. FLOXANT macht das Apartment wieder bereit.","Gästewechsel-Service Regensburg | Ferienwohnung vorbereiten","Gästewechsel-Service von FLOXANT: Gästewechsel mit Reinigung, Kontrolle, Fotos, Schlüsselmanagement und Vorbereitung für Ferienwohnungen in Regensburg, Oberpfalz und Regensburg.","659","4","8","Anfrage starten -> /buchung?utm_source=airbnb-turnover-express&utm_medium=premium_landingpage&service=airbnb-turnover-express#buchungssystem","gut","ausreichend","gut","[object Object] | [object Object]","","","index, follow","P2","A","",""
"/akteneinlagerung-regensburg","Lokale Service-Seite","Regensburg","Leistung verstehen und anfragen","akteneinlagerung regensburg","Akten- & Archivlagerung in regensburg","Akteneinlagerung Regensburg: Umfang und Zugang prüfen","Menge, Kartonanzahl, gewünschte Dauer, Zugang und Zugriffswünsche für eine Akteneinlagerung in Regensburg anfragen; Verfügbarkeit wird geprüft.","2682","14","24","Budget nennen -> /anfrage-mit-preisrahmen","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P1","A","",""
"/alternativen","Hub / Information","überregional oder nicht ortsgebunden","passenden Service und nächsten Schritt wählen","floxant vs. wettbewerber","Die transparente Alternative.","FLOXANT vs. Wettbewerber | Der ehrliche Vergleich | Umzug Bayern","FLOXANT im Vergleich: nachvollziehbarer Preisrahmen, klare Leistungen und nachvollziehbare Umzugsplanung in Bayern. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","60","0","2","Klarer als viele Pauschalen Wie Leistungsumfang, Preisrahmen und nächster Schritt besser vergleichbar werden. Zum Vergleich -> /alternativen/anbieter-regensburg","ausreichend","schwach","ausreichend","","","","index, follow","P2","B","",""
"/anbieter-vergleichen","Hub / Information","überregional oder nicht ortsgebunden","Angebot und Leistungsumfang prüfen","anbieter und angebote vergleichen","Anbieter vergleichen, ohne nur auf den Preis zu schauen.","Anbieter und Angebote vergleichen | FLOXANT","Angebote für Umzug, Reinigung, Entrümpelung und Entsorgung vergleichen: Preisrahmen, Umfang, Fotos, Zugang und offene Punkte einordnen.","3103","20","37","Angebot pruefen lassen -> /angebot-guenstiger-pruefen","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/anfrage-mit-preisrahmen","Hub / Information","überregional oder nicht ortsgebunden","passenden Service und nächsten Schritt wählen","preisvorschlag senden","Ihr Rahmen. Unsere ehrliche Einschätzung.","Preisvorschlag senden | FLOXANT Anfrage mit Budget","Eigenes Zielbudget nennen und trotzdem ehrlich prüfen lassen: Kundenwunsch und FLOXANT Orientierungsrahmen bleiben getrennt. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","482","9","5","Weiterführend Rechner zur Orientierung -> /rechner","gut","gut","ausreichend","","","","index, follow","P2","B","",""
"/angebot-guenstiger-pruefen","Hub / Information","überregional oder nicht ortsgebunden","Angebot und Leistungsumfang prüfen","angebot prüfen lassen","Angebot prüfen lassen, bevor Sie vorschnell zusagen","Angebot prüfen lassen | FLOXANT Zweitmeinung","Angebot vor Zusage prüfen lassen: Preis, Umfang, Fotos, Termin und offene Punkte für Reinigung, Umzug, Entrümpelung, Entsorgung oder PV-Reinigung klären.","8352","39","104","Service-Angebot prüfen -> /kontakt?service=reinigung&city=duesseldorf&intent=reinigungsangebot-pruefen&source=seo","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P0","A","",""
