claim_id,public_text,route,source,verified,evidence,public_rendered,internal_only,expired,allowed_pages,language,risk,classification
CLAIM-01,"Turnus, Termin, Zusatzpositionen, Zugang, Fotos und fehlende Annahmen. Wird ein vorhandenes Angebot garantiert unterboten? Nein. Es gibt keine Unterbietungsgarantie. Ziel ist eine sachliche zweite Einordnung und, falls passend, eine Alternative. Kann",/angebot-pruefen,out/angebot-pruefen.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/angebot-pruefen,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-02,"auch ohne vorhandenes Angebot eine erste Einschätzung anfragen. Wird FLOXANT das bestehende Angebot garantiert unterbieten? Nein. FLOXANT gibt keine Preisgarantie und verspricht kein Unterbieten. Jede Anfrage wird individuell nach Objekt, Umfang, Tur",/angebot-vergleichen-duesseldorf,out/angebot-vergleichen-duesseldorf.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/angebot-vergleichen-duesseldorf,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-03,"rümpelung, Wohnungsauflösung, Endreinigung und Übergabevorbereitung in Regensburg. Wird das Angebot garantiert unterboten? Nein. FLOXANT gibt keine Preisgarantie und keine Unterbietungszusage. Ziel ist eine sachliche zweite Einordnung. Welche Angaben",/angebot-vergleichen-regensburg,out/angebot-vergleichen-regensburg.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/angebot-vergleichen-regensburg,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-04,"ung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Vermieter-Schockschutz Garantiert der Service die volle Kaution? Nein. Die Kaution haengt von Mietvertrag, Zustand, Schaeden und Vermieterentscheidung ab. Der Service reduzi",/blog/auszug-checkliste-regensburg,out/blog/auszug-checkliste-regensburg.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/auszug-checkliste-regensburg,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-05,"iste, weil Zustand, Menge, Zugang und kritische Stellen schneller sichtbar werden. Ist eine Abnahme garantiert? Nein. FLOXANT kann eine Übergabe vorbereiten und sichtbar offene Punkte reduzieren, aber keine Vermieterentscheidung garantieren. Gilt die",/blog/entruempelung-endreinigung-uebergabe-regensburg-kombinieren,out/blog/entruempelung-endreinigung-uebergabe-regensburg-kombinieren.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/entruempelung-endreinigung-uebergabe-regensburg-kombinieren,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-06," Rechtsberatung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Geruchslos Garantiert FLOXANT, dass jeder Geruch verschwindet? Nein. Geruch hängt von Quelle, Material, Dauer und Zustand ab. FLOXANT kann reinigen und Quellenbe",/blog/geruchsproblem-dokumentieren-statt-ueberdecken,out/blog/geruchsproblem-dokumentieren-statt-ueberdecken.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/geruchsproblem-dokumentieren-statt-ueberdecken,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-07," Rechtsberatung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Geruchslos Garantiert FLOXANT, dass jeder Geruch verschwindet? Nein. Geruch hängt von Quelle, Material, Dauer und Zustand ab. FLOXANT kann reinigen und Quellenbe",/blog/gerueche-in-wohnung-vor-uebergabe,out/blog/gerueche-in-wohnung-vor-uebergabe.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/gerueche-in-wohnung-vor-uebergabe,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-08,"ung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Vermieter-Schockschutz Garantiert der Service die volle Kaution? Nein. Die Kaution haengt von Mietvertrag, Zustand, Schaeden und Vermieterentscheidung ab. Der Service reduzi",/blog/haeufige-gruende-fuer-kautionsabzuege,out/blog/haeufige-gruende-fuer-kautionsabzuege.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/haeufige-gruende-fuer-kautionsabzuege,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-09," Rechtsberatung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Geruchslos Garantiert FLOXANT, dass jeder Geruch verschwindet? Nein. Geruch hängt von Quelle, Material, Dauer und Zustand ab. FLOXANT kann reinigen und Quellenbe",/blog/kueche-bad-textilien-geruch,out/blog/kueche-bad-textilien-geruch.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/kueche-bad-textilien-geruch,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-10,"sen Situation beschreiben FAQ zu Kurzfristige Reinigung Ist eine Reinigung innerhalb von 24 Stunden garantiert? Nein. FLOXANT prüft kurzfristige Fälle nach Kapazität, Ort, Umfang und Zugang. Eine ehrliche Prüfung ist besser als ein leeres Versprechen",/blog/kurzfristige-reinigung-regensburg-24h-realistisch,out/blog/kurzfristige-reinigung-regensburg-24h-realistisch.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/kurzfristige-reinigung-regensburg-24h-realistisch,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-11,"n? FLOXANT kann prüfen, ob eine passendere oder vielleicht günstigere Alternative möglich ist. Eine Garantie gibt es nicht. Welche Daten helfen am meisten? Stadtteil, Fläche, Objektart, Fotos, Termin, gewünschter Umfang, vorhandenes Angebot und Pre",/blog/reinigungsfirma-regensburg-preise-kosten-angebot-pruefen,out/blog/reinigungsfirma-regensburg-preise-kosten-angebot-pruefen.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/reinigungsfirma-regensburg-preise-kosten-angebot-pruefen,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-12,"tung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben Häufige Fragen Gibt es einen garantierten Einsatzradius? Nein. FLOXANT prüft jede längere Strecke einzeln nach Route, Umfang, Zugängen, Zeitraum und verfügbarer Kapazität. Hilft ein",/blog/umzug-regensburg-laengere-strecke,out/blog/umzug-regensburg-laengere-strecke.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/umzug-regensburg-laengere-strecke,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
CLAIM-13,"one, Termin, Strecke und Zusatzleistungen prüfen. Eine günstigere Alternative ist möglich, aber nie garantiert. Warum Festpreis Daten braucht Ein Festpreis ist nur belastbar, wenn der Aufwand sichtbar ist. Fehlen Fotos, Möbelmenge, Laufweg oder Parkt",/blog/umzugsangebot-muenchen-pruefen-festpreis-guenstiger,out/blog/umzugsangebot-muenchen-pruefen-festpreis-guenstiger.html,true,Explicit negative limitation or answer; it rejects a guarantee and does not make a positive promise.,true,false,false,/blog/umzugsangebot-muenchen-pruefen-festpreis-guenstiger,de,LOW_NEGATIVE_DISCLAIMER,VERIFIED_PUBLIC
