URL,locale,primaryQuery,shortTitle,seoTitle,titleLength,headline,description,descriptionLength,canonical,hreflang,status,issues
"https://www.floxant.de","de-DE","FLOXANT Dienstleistungen","FLOXANT","FLOXANT | Reinigung Düsseldorf & Services Regensburg","52","Reinigung in Düsseldorf. Umzug und Service in Regensburg.","FLOXANT für Reinigung in Düsseldorf sowie Umzug, Räumung und Reinigung in Regensburg. Auftrag mit Ort, Umfang, Termin und Fotos anfragen.","137","https://www.floxant.de","de-DE:https://www.floxant.de | en:https://www.floxant.de/en | x-default:https://www.floxant.de","PASS",""
"https://www.floxant.de/umzug","de-DE","umzug regensburg","Umzug Regensburg","Umzug Regensburg | Fotos senden & Preis prüfen","46","Umzugsunternehmen für Regensburg und Bayern","Umzug in Regensburg und Bayern prüfen lassen: Volumen, Etagen, Laufwege, Fotos, vorhandenes Angebot, Zusatzleistungen und Übergabe sauber planen.","145","https://www.floxant.de/umzug","de-DE:https://www.floxant.de/umzug | x-default:https://www.floxant.de/umzug","PASS",""
"https://www.floxant.de/bueroumzug","de-DE","büroumzug regensburg","Büroumzug Regensburg","Büroumzug Regensburg | Firmenumzug klar planen","46","Büroumzug in Bayern","Arbeitsplätze, IT, Archiv, Möbel, Zugang und Zeitfenster Punkt für Punkt prüfen lassen. FLOXANT plant Büroumzüge in Regensburg und Bayern.","138","https://www.floxant.de/bueroumzug","de-DE:https://www.floxant.de/bueroumzug | x-default:https://www.floxant.de/bueroumzug","PASS",""
"https://www.floxant.de/firmenentsorgung","de-DE","firmenentsorgung regensburg","Firmenentsorgung Regensburg","Firmenentsorgung Regensburg | Büro & Gewerbe","44","Firmenentsorgung für Büros, Unternehmen und Gewerbeflächen","Büromöbel, Inventar, Aktenreste oder Restmengen entsorgen lassen. FLOXANT prüft Menge, Zugang und Abholung für Firmen. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","201","https://www.floxant.de/firmenentsorgung","de-DE:https://www.floxant.de/firmenentsorgung | x-default:https://www.floxant.de/firmenentsorgung","WARN","meta description long"
"https://www.floxant.de/diskret-service","de-DE","diskret","Diskret-Service für sensible Anfragen","Diskret-Service für sensible Anfragen","37","Diskret-Service für sensible Anfragen – Umzug, Entrümpelung und Auflösung zurückhaltend klären","Sensible Anfrage zu Umzug, Entrümpelung, Auflösung, Nachlass, Reinigung oder Angebot mit bevorzugtem Kontaktweg einordnen. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","205","https://www.floxant.de/diskret-service","de-DE:https://www.floxant.de/diskret-service | x-default:https://www.floxant.de/diskret-service","WARN","meta description long"
"https://www.floxant.de/private-client-service","de-DE","private client service","Private Client Service - sensible private Anfragen klar abstimmen","Private Client Service - sensible private Anfragen klar abstimmen","65","Private Client Service für sensible private Anfragen","Private Client Service für individuelle private Anfragen: Umzug, Reinigung, Räumung, Übergabe oder Angebotsprüfung mit persoenlicher Koordination.","146","https://www.floxant.de/private-client-service","de-DE:https://www.floxant.de/private-client-service | x-default:https://www.floxant.de/private-client-service","PASS",""
"https://www.floxant.de/reinigung","de-DE","reinigung regensburg","Reinigung Regensburg","Reinigung Regensburg | Endreinigung & Übergabe","46","Gebäudereinigung in Regensburg und Umgebung","Reinigung in Regensburg und Regensburg: Wohnung, Büro, Endreinigung und Übergabe mit Fläche, Zustand, Fotos, Termin und Budget prüfen lassen.","141","https://www.floxant.de/reinigung","de-DE:https://www.floxant.de/reinigung | x-default:https://www.floxant.de/reinigung","PASS",""
"https://www.floxant.de/notfallreinigung-24h","de-DE","kurzfristige reinigung","Kurzfristige Reinigung","Kurzfristige Reinigung | Fotos und Termin senden","48","Kurzfristige Reinigung anfragen","Dringende Reinigung für Wohnung, Büro, Gewerbe, Veranstaltung oder Übergabe: Ort, Fotos, Termin und Zugang senden. FLOXANT prüft schnell.","137","https://www.floxant.de/notfallreinigung-24h","de-DE:https://www.floxant.de/notfallreinigung-24h | x-default:https://www.floxant.de/notfallreinigung-24h","PASS",""
"https://www.floxant.de/entruempelung","de-DE","entrümpelung regensburg","Entrümpelung Regensburg","Entrümpelung Regensburg | Wohnung, Keller & Entsorgung","54","Entrümpelung und Wohnungsauflösung in Regensburg und Bayern","Entrümpelung, Wohnungsauflösung und Entsorgung in Regensburg und Regensburg: Fotos, Volumen, Zugang, Material, Termin und Reinigung danach prüfen.","146","https://www.floxant.de/entruempelung","de-DE:https://www.floxant.de/entruempelung | x-default:https://www.floxant.de/entruempelung","PASS",""
"https://www.floxant.de/kleintransporte","de-DE","floxant regensburg","FLOXANT Regensburg","FLOXANT Regensburg | Umzug, Reinigung & Entrümpelung","52","Umzug in Bayern","Umzug, Reinigung, Entrümpelung und Übergabe in Regensburg und Regensburg: Aufwand realistisch prüfen, direkt anfragen und sauber planen.","136","https://www.floxant.de/kleintransporte","de-DE:https://www.floxant.de/kleintransporte | x-default:https://www.floxant.de/kleintransporte","WARN","duplicate-title | duplicate-h1 | duplicate-metaDescription"
"https://www.floxant.de/solarreinigung","de-DE","solarreinigung anfragen","Solarreinigung anfragen - Dachart, Zugang und Zustand klären","Solarreinigung anfragen - Dachart, Zugang und Zustand klären","60","Solarreinigung anfragen - Zugang, Dachart und Verschmutzung klären","Solar- oder PV-Reinigung geplant? Dachart, Zugang, Modulfläche und Verschmutzung beschreiben. FLOXANT prüft Anfrage oder Angebot anhand der genannten Eckdaten.","159","https://www.floxant.de/solarreinigung","","PASS",""
"https://www.floxant.de/regensburg/reinigung","de-DE","reinigung regensburg","Reinigung Regensburg","Reinigung Regensburg | Wohnung & Übergabe anfragen","50","Reinigung in Regensburg für Wohnung, Auszug und Übergabe","Reinigung in Regensburg für Wohnung, Endreinigung, Umzugsreinigung oder Übergabe: Fläche, Zustand, Fotos und Termin senden und Anfrage klären.","142","https://www.floxant.de/regensburg/reinigung","de-DE:https://www.floxant.de/regensburg/reinigung | x-default:https://www.floxant.de/regensburg/reinigung","PASS",""
"https://www.floxant.de/regensburg/solarreinigung","de-DE","solarreinigung regensburg","Solarreinigung Regensburg - PV-Anlage und Zugang klären","Solarreinigung Regensburg - PV-Anlage und Zugang klären","55","Solarreinigung Regensburg anfragen - PV-Anlage, Fotos und Zugang beschreiben","Solarreinigung Regensburg: PV-Fotos, Modulfläche, Dachzugang, Verschmutzung, Angebot und Zeitraum senden. FLOXANT prüft Machbarkeit ohne Ertragsgarantie.","153","https://www.floxant.de/regensburg/solarreinigung","","PASS",""
"https://www.floxant.de/kellerentruempelung","de-DE","kellerentrümpelung","Kellerentrümpelung","Kellerentrümpelung | Fotos, Zugang & Menge prüfen","49","Kellerentrümpelung, wenn Menge, Laufweg und Entsorgung zuerst klar werden müssen","Kellerentrümpelung für Keller, Abstellraum und Nebenfläche: Fotos, Menge, Etage, Laufweg, Entsorgung und Reinigung danach prüfen lassen.","136","https://www.floxant.de/kellerentruempelung","","PASS",""
"https://www.floxant.de/nachlassaufloesung","de-DE","nachlassauflösung","Nachlassauflösung","Nachlassauflösung | Diskret & respektvoll prüfen","48","Nachlassauflösung respektvoll klären, ohne Druck und ohne falsche Versprechen","Nachlassauflösung für Wohnung oder Haus: Fotos, Freigabe, Ansprechpartner, sensible Punkte, Räumung und Reinigung ruhig prüfen lassen.","134","https://www.floxant.de/nachlassaufloesung","","PASS",""
"https://www.floxant.de/lageraufloesung","de-DE","lagerauflösung","Lagerauflösung","Lagerauflösung | Bestand, Zugang & Entsorgung prüfen","52","Lagerauflösung für Nebenflächen, Bestände und Gewerberäume mit klarer Sortierung","Lagerauflösung für Lagerraum, Gewerbefläche oder Nebenfläche: Bestand, Fotos, Zugang, Entsorgung, Transport und Reinigung prüfen lassen.","136","https://www.floxant.de/lageraufloesung","","PASS",""
"https://www.floxant.de/mini-umzug","de-DE","mini","Mini-Umzug","Mini-Umzug | Kleine Umzüge realistisch prüfen","45","Mini-Umzug für wenige Möbel, Kartons oder ein kleines Apartment","Mini-Umzug für wenige Möbel, Kartons, Apartment oder WG-Zimmer: Start, Ziel, Etage, Volumen, Fotos, Termin und Budget prüfen lassen.","132","https://www.floxant.de/mini-umzug","","PASS",""
"https://www.floxant.de/express-umzug","de-DE","express","Express-Umzug","Express-Umzug | Dringend, aber sauber prüfen","44","Express-Umzug, wenn der Termin knapp ist und trotzdem sauber geplant werden muss","Express-Umzug bei knapper Deadline: Start, Ziel, Volumen, Fotos, Etage, Termin und Plan-B-Bedarf senden. FLOXANT prüft Machbarkeit ohne Sofortgarantie.","151","https://www.floxant.de/express-umzug","","PASS",""
"https://www.floxant.de/moebeltransport","de-DE","möbeltransport","Möbeltransport","Möbeltransport | Einzelstücke & Strecke prüfen","46","Möbeltransport für einzelne Stücke, wenn Maße, Gewicht und Laufweg klar sein müssen","Möbeltransport für Sofa, Schrank, Tisch, Bett oder Einzelstücke: Maße, Gewicht, Etage, Start, Ziel, Fotos und Zeitfenster prüfen lassen.","136","https://www.floxant.de/moebeltransport","","PASS",""
"https://www.floxant.de/fairpreis-check","de-DE","fairpreis","Fairpreis-Check","Fairpreis-Check | Angebot sachlich prüfen lassen","48","FLOXANT Fairpreis-Check für Angebote, die günstig, teuer oder unklar wirken","FLOXANT Fairpreis-Check für Umzug, Reinigung, Entrümpelung oder Gewerbereinigung: Angebot, Fotos, Umfang, Termin und Zusatzkosten prüfen lassen.","144","https://www.floxant.de/fairpreis-check","","PASS",""
"https://www.floxant.de/uebergabe-sprint","de-DE","übergabe","Übergabe-Sprint","Übergabe-Sprint | Wohnung vor Termin vorbereiten","48","FLOXANT Übergabe-Sprint, wenn der Übergabetermin näher rückt","FLOXANT Übergabe-Sprint für Auszug, Rückgabe oder Besichtigung: Restmengen, Reinigung, Fotos, Schlüsselweg und Deadline Punkt für Punkt prüfen.","143","https://www.floxant.de/uebergabe-sprint","","PASS",""
"https://www.floxant.de/vermieter-ready-service","de-DE","vermieter","Vermieter-Ready-Service","Vermieter-Ready-Service | Wohnung vorbereiten","45","FLOXANT Vermieter-Ready-Service für Wohnungen vor Rückgabe oder Neuvermietung","FLOXANT Vermieter-Ready-Service: Wohnung für Rückgabe, Neuvermietung oder Besichtigung mit Räumung, Reinigung, Fotos und Restpunkten vorbereiten.","145","https://www.floxant.de/vermieter-ready-service","","PASS",""
"https://www.floxant.de/rueckfahrt-radar","de-DE","rückfahrt","Rückfahrt-Radar","Rückfahrt-Radar | Beiladung & Leerfahrt prüfen","46","FLOXANT Rückfahrt-Radar für flexible Transporte, Beiladung und Leerfahrten","FLOXANT Rückfahrt-Radar prüft flexible Transporte, Beiladung und Leerfahrt: Strecke, Volumen, Zeitfenster, Fotos und Abholort senden.","133","https://www.floxant.de/rueckfahrt-radar","","PASS",""
"https://www.floxant.de/region-regensburg","de-DE","region regensburg","Region Regensburg","Region Regensburg | Einsatzgebiet & Leistungen | FLOXANT","56","Region Regensburg: Einsatzgebiet, Leistungen und passende Anfragewege","Region Regensburg: ausgewählte Leistungen, Städte und Angebotsprüfung im Einsatzgebiet 50 km rund um Regensburg.","112","https://www.floxant.de/region-regensburg","de-DE:https://www.floxant.de/region-regensburg | x-default:https://www.floxant.de/region-regensburg","PASS",""
"https://www.floxant.de/angebot-pruefen","de-DE","angebot prüfen lassen","Angebot prüfen lassen","Angebot prüfen lassen | Regensburg | FLOXANT","44","Angebot in Regensburg prüfen lassen, bevor Umfang oder Preis unklar bleibt","Angebot prüfen lassen in Regensburg: Reinigung im 50-km-Umkreis, Umzug, Entrümpelung oder Wohnungsauflösung sachlich einordnen.","127","https://www.floxant.de/angebot-pruefen","de-DE:https://www.floxant.de/angebot-pruefen | x-default:https://www.floxant.de/angebot-pruefen","PASS",""
